Reference,https://en.wikipedia.org/wiki/United_States_presidential_election,,,,,,,,,Copied on Dec 15 2024,
Year,Party,Presidential candidate,Vice presidential candidate,Popular vote,Total voting population,Popular vote percentage (%),Electoral votes,Total electoral votes,Percentage of electoral votes,Notes,Winner
1888,Democratic,Grover Cleveland,Allen G. Thurman,"5,534,488","11,383,320",48.62%,168,401,41.90%,,FALSE
1888,Prohibition,Clinton B. Fisk,John A. Brooks,"249,819","11,383,320",2.19%,0,401,0.00%,,FALSE
1888,Union Labor,Alson Streeter,Charles E. Cunningham,"146,602","11,383,320",1.29%,0,401,0.00%,,FALSE
1888,Other,Write-in,None,"8,519","11,383,320",0.07%,0,401,0.00%,,FALSE
1892,Democratic,Grover Cleveland,Adlai Stevenson I,"5,553,898","12,068,037",46.02%,277,444,62.39%,,TRUE
1892,Republican,Benjamin Harrison,Whitelaw Reid,"5,190,819","12,068,037",43.01%,145,444,32.66%,,FALSE
1892,Populist,James B. Weaver,James G. Field,"1,026,595","12,068,037",8.51%,22,444,4.95%,,FALSE
1892,Prohibition,John Bidwell,James Britton Cranfill,"270,879","12,068,037",2.24%,0,444,0.00%,,FALSE
1892,Other,Other Candidates,Other Candidates or None,"25,846","12,068,037",0.21%,0,444,0.00%,These are 3rd party candidates who didn't get more than 1% of the vote like the Socialist Labor Party.,FALSE
1896,Republican,William McKinley,Garret Hobart,"7,111,607","13,936,957",51.03%,271,447,60.63%,,TRUE
1896,Democratic,William Jennings Bryan,Arthur Sewall,"5,596,811","13,936,957",40.16%,149,447,33.33%,All Democrats and Populists nominated Bryan as President but the Democrats wanted Sewall as Vice President while the Populists wanted Watson.  Bryan won a total of 6509052 popular votes.,FALSE
1896,Populist,William Jennings Bryan,Thomas E. Watson,"912,241","13,936,957",6.55%,27,447,6.04%,All Democrats and Populists nominated Bryan as President but the Democrats wanted Sewall as Vice President while the Populists wanted Watson.  Bryan won a total of 6509052 popular votes.,FALSE
1896,Other,Other Candidates,Other Candidates or None,"316,298","13,936,957",2.27%,0,447,0.00%,These are 3rd party candidates who didn't get more than 1% of the vote like the National Democratic/ Prohibition/ Socialist Labor/ and the National Prohibition Parties.,FALSE
1900,Republican,William McKinley,Theodore Roosevelt,"7,228,864","13,997,426",51.64%,292,447,65.32%,,TRUE
1900,Democratic,William Jennings Bryan,Adlai Stevenson I,"6,370,932","13,997,426",45.52%,155,447,34.68%,,FALSE
1900,Prohibition,John G. Woolley,Henry B. Metcalf,"210,864","13,997,426",1.51%,0,447,0.00%,,FALSE
1900,Other,Other Candidates,Other Candidates or None,"186,766","13,997,426",1.33%,0,447,0.00%,These are 3rd party candidates who didn't get more than 1% of the vote like Social Democratic/ Populist/ and Socialist Labor Parties.,FALSE
1904,Republican,Theodore Roosevelt,Charles W. Fairbanks,"7,630,457","13,525,002",56.42%,336,476,70.59%,,TRUE
1904,Democratic,Alton B. Parker,Henry G. Davis,"5,083,880","13,525,002",37.59%,140,476,29.41%,,FALSE
1904,Socialist,Eugene V. Debs,Benjamin Hanford,"402,810","13,525,002",2.98%,0,476,0.00%,,FALSE
1904,Prohibition,Silas C. Swallow,George Washington Carroll,"259,102","13,525,002",1.92%,0,476,0.00%,,FALSE
1904,Other,Other Candidates,Other Candidates or None,"148,753","13,525,002",1.10%,0,476,0.00%,These are 3rd party candidates who didn't get more than 1% of the vote like Populist and Socialist Labor Parties.,FALSE
1908,Republican,William Howard Taft,James S. Sherman,"7,678,335","14,889,239",51.57%,321,483,66.46%,,TRUE
1908,Democratic,William Jennings Bryan,John W. Kern,"6,408,979","14,889,239",43.04%,162,483,33.54%,,FALSE
1908,Socialist,Eugene V. Debs,Benjamin Hanford,"420,852","14,889,239",2.83%,0,483,0.00%,,FALSE
1908,Prohibition,Eugene W. Chafin,Aaron S. Watkins,"254,087","14,889,239",1.71%,0,483,0.00%,,FALSE
1908,Other,Other Candidates,Other Candidates or None,"126,986","14,889,239",0.85%,0,483,0.00%,These are 3rd party candidates who didn't get more than 1% of the vote like Populist and Socialist Labor Parties.,FALSE
1912,Democratic,Woodrow Wilson,Thomas R. Marshall,"6,296,284","15,048,834",41.84%,435,531,81.92%,,TRUE
1912,Progressive,Theodore Roosevelt,Hiram Johnson,"4,122,721","15,048,834",27.40%,88,531,16.57%,,FALSE
1912,Republican,William Howard Taft,Nicholas Murray Butler,"3,486,242","15,048,834",23.17%,8,531,1.51%,James S. Sherman died in office which is why Nicholas Butler took his place.,FALSE
1912,Socialist,Eugene V. Debs,Emil Seidel,"901,551","15,048,834",5.99%,0,531,0.00%,,FALSE
1912,Prohibition,Eugene W. Chafin,Aaron S. Watkins,"208,156","15,048,834",1.38%,0,531,0.00%,,FALSE
1912,Other,Other Candidates,Other Candidates or None,"33,880","15,048,834",0.23%,0,531,0.00%,These are 3rd party candidates who didn't get more than 1% of the vote like Socialist Labor Party.,FALSE
1916,Democratic,Woodrow Wilson,Thomas R. Marshall,"9,126,868","18,536,585",49.24%,277,531,52.17%,,TRUE
1916,Republican,Charles Evans Hughes,Charles W. Fairbanks,"8,548,728","18,536,585",46.12%,254,531,47.83%,,FALSE
1916,Other,Other Candidates,Other Candidates or None,"860,989","18,536,585",4.64%,0,531,0.00%,These are 3rd party candidates who didn't get more than 5% of the vote like Socialist/ Prohibition/ Progressive/ and Socialist Labor Parties.,FALSE
1920,Republican,Warren G. Harding,Calvin Coolidge,"16,166,126","26,788,225",60.35%,404,531,76.08%,,TRUE
1920,Democratic,James M. Cox,Franklin D. Roosevelt,"9,140,256","26,788,225",34.12%,127,531,23.92%,,FALSE
1920,Socialist,Eugene V. Debs,Seymour Stedman,"914,191","26,788,225",3.41%,0,531,0.00%,,FALSE
1920,Other,Other Candidates,Other Candidates or None,"567,652","26,788,225",2.12%,0,531,0.00%,These are 3rd party candidates who didn't get more than 3% of the popular vote.,FALSE
1924,Republican,Calvin Coolidge,Charles G. Dawes,"15,723,789","29,097,107",54.04%,382,531,71.94%,,TRUE
1924,Democratic,John W. Davis,Charles W. Bryan,"8,386,242","29,097,107",28.82%,136,531,25.61%,,FALSE
1924,Progressive,Robert M. La Follette,Burton K. Wheeler,"4,831,706","29,097,107",16.61%,13,531,2.45%,"The progressive party build a coalition of parties from disgruntaled Republicans, Socialists, and Farmer-Labor party.",FALSE
1924,Other,Other Candidates,Other Candidates or None,"155,370","29,097,107",0.53%,0,531,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1928,Republican,Herbert Hoover,Charles Curtis,"21,427,123","36,807,012",58.21%,444,531,83.62%,,TRUE
1928,Democratic,Al Smith,Joseph Taylor Robinson,"15,015,464","36,807,012",40.80%,87,531,16.38%,,FALSE
1928,Other,Other Candidates,Other Candidates or None,"364,425","36,807,012",0.99%,0,531,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1932,Democratic,Franklin D. Roosevelt,John Nance Garner,"22,821,277","39,751,898",57.41%,472,531,88.89%,,TRUE
1932,Republican,Herbert Hoover,Charles Curtis,"15,761,254","39,751,898",39.65%,59,531,11.11%,,FALSE
1932,Socialist,Norman Thomas,James H. Maurer,"884,885","39,751,898",2.23%,0,531,0.00%,,FALSE
1932,Other,Other Candidates,Other Candidates or None,"284,482","39,751,898",0.72%,0,531,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1936,Democratic,Franklin D. Roosevelt,John Nance Garner,"27,752,648","45,647,699",60.80%,523,531,98.49%,,TRUE
1936,Republican,Alf Landon,Frank Knox,"16,681,862","45,647,699",36.54%,8,531,1.51%,,FALSE
1936,Other,Other Candidates,Other Candidates or None,"1,213,189","45,647,699",2.66%,0,531,0.00%,These are 3rd party candidates who didn't get more than 2% of the popular vote.,FALSE
1940,Democratic,Franklin D. Roosevelt,Henry A. Wallace,"27,313,945","49,902,113",54.74%,449,531,84.56%,,TRUE
1940,Republican,Wendell Willkie,Charles L. McNary,"22,347,744","49,902,113",44.78%,82,531,15.44%,,FALSE
1940,Other,Other Candidates,Other Candidates or None,"240,424","49,902,113",0.48%,0,531,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1944,Democratic,Franklin D. Roosevelt,Harry S. Truman,"25,612,916","47,984,862",53.38%,432,531,81.36%,,TRUE
1944,Republican,Thomas E. Dewey,John W. Bricker,"22,017,929","47,984,862",45.89%,99,531,18.64%,,FALSE
1944,Other,Other Candidates,Other Candidates or None,"354,017","47,984,862",0.74%,0,531,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1948,Democratic,Harry S. Truman,Alben W. Barkley,"24,178,347","48,792,628",49.55%,303,531,57.06%,,TRUE
1948,Republican,Thomas E. Dewey,Earl Warren,"21,991,292","48,792,628",45.07%,189,531,35.59%,,FALSE
1948,Dixiecrat,Strom Thurmond,Fielding L. Wright,"1,176,023","48,792,628",2.41%,39,531,7.34%,,FALSE
1948,Progressive/ American Labor,Henry A. Wallace,Glen H. Taylor,"1,157,328","48,792,628",2.37%,0,531,0.00%,,FALSE
1948,Other,Other Candidates,Other Candidates or None,"289,638","48,792,628",0.59%,0,531,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1952,Republican,Dwight D. Eisenhower,Richard Nixon,"34,075,529","61,751,942",55.18%,442,531,83.24%,,TRUE
1952,Democratic,Adlai Stevenson II,John Sparkman,"27,375,090","61,751,942",44.33%,89,531,16.76%,,FALSE
1952,Other,Other Candidates,Other Candidates or None,"301,323","61,751,942",0.49%,0,531,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1956,Republican,Dwight D. Eisenhower,Richard Nixon,"35,579,180","62,021,979",57.37%,457,531,86.06%,,TRUE
1956,Democratic,Adlai Stevenson II,Estes Kefauver,"26,028,028","62,021,979",41.97%,73,531,13.75%,,FALSE
1956,Other,Other Candidates,Other Candidates or None,"414,771","62,021,979",0.67%,0,531,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1956,Democratic,Walter Burgwyn Jones,Herman Talmadge,0,"62,021,979",0.00%,1,531,0.19%,1 faithless elector from Alabama voted for Jones and Talmadge instead of Stevenson and Kafauver.,FALSE
1960,Democratic,John F. Kennedy,Lyndon B. Johnson,"34,220,984","68,832,482",49.72%,303,537,56.42%,,TRUE
1960,Republican,Richard Nixon,Henry Cabot Lodge Jr.,"34,108,157","68,832,482",49.55%,219,537,40.78%,,FALSE
1960,Other,Other Candidates,Other Candidates or None,"503,341","68,832,482",0.73%,0,537,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1960,Southern Democratic,Harry F. Byrd,Strom Thurmond,0,"68,832,482",0.00%,14,537,2.61%,Upledged electors voted for Byrd and Thurmond.,FALSE
1960,Southern Democratic,Harry F. Byrd,Barry Goldwater,0,"68,832,482",0.00%,1,537,0.19%,Faithless elector from Oklahoma voted by Byrd (Democrat) and Goldwater (Republican).,FALSE
1964,Democratic,Lyndon B. Johnson,Hubert Humphrey,"43,129,040","70,641,539",61.05%,486,538,90.33%,,TRUE
1964,Republican,Barry Goldwater,William E. Miller,"27,175,754","70,641,539",38.47%,52,538,9.67%,,FALSE
1964,Other,Other Candidates,Other Candidates or None,"336,745","70,641,539",0.48%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1968,Republican,Richard Nixon,Spiro Agnew,"31,783,783","73,199,999",43.42%,301,538,55.95%,,TRUE
1968,Democratic,Hubert Humphrey,Edmund Muskie,"31,271,839","73,199,999",42.72%,191,538,35.50%,,FALSE
1968,American Independent,George Wallace,Curtis LeMay,"9,901,118","73,199,999",13.53%,46,538,8.55%,,FALSE
1968,Other,Other Candidates,Other Candidates or None,"243,259","73,199,999",0.33%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1972,Republican,Richard Nixon,Spiro Agnew,"47,168,710","77,744,030",60.67%,520,538,96.65%,,TRUE
1972,Democratic,George McGovern,Sargent Shriver,"29,173,222","77,744,030",37.52%,17,538,3.16%,,FALSE
1972,Other,Other Candidates,Other Candidates or None,"1,398,424","77,744,030",1.80%,0,538,0.00%,These are 3rd party candidates who didn't get more than 2% of the popular vote.,FALSE
1972,Libertarian,John Hospers,Theodora Nathan,"3,674","77,744,030",0.00%,1,538,0.19%,Roger MacBride of Virginia voted for Hospers and Nathan instead of Nixon.,FALSE
1976,Democratic,Jimmy Carter,Walter Mondale,"40,831,881","81,540,780",50.08%,297,538,55.20%,,TRUE
1976,Republican,Gerald Ford,Bob Dole,"39,148,634","81,540,780",48.01%,240,538,44.61%,,FALSE
1976,Other,Other Candidates,Other Candidates or None,"1,560,265","81,540,780",1.91%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1976,Republican,Ronald Reagan,Bob Dole,0,"81,540,780",0.00%,1,538,0.19%,Mike Padden of Washington (State) voted for Reagon instead of Ford as President but voted in Bob Dole as VP.,FALSE
1980,Republican,Ronald Reagan,George H. W. Bush,"43,903,230","86,510,678",50.75%,489,538,90.89%,,TRUE
1980,Democratic,Jimmy Carter,Walter Mondale,"35,481,115","86,510,678",41.01%,49,538,9.11%,,FALSE
1980,Independent,John B. Anderson,Patrick Lucey,"5,719,850","86,510,678",6.61%,0,538,0.00%,,FALSE
1980,Libertarian,Edward E. Clark,David Koch,"921,128","86,510,678",1.06%,0,538,0.00%,,FALSE
1980,Other,Other Candidates,Other Candidates or None,"485,355","86,510,678",0.56%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1984,Republican,Ronald Reagan,George H. W. Bush,"54,455,472","92,653,233",58.77%,525,538,97.58%,,TRUE
1984,Democratic,Walter Mondale,Geraldine Ferraro,"37,577,352","92,653,233",40.56%,13,538,2.42%,,FALSE
1984,Other,Other Candidates,Other Candidates or None,"620,409","92,653,233",0.67%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1988,Republican,George H. W. Bush,Dan Quayle,"48,886,597","91,594,686",53.37%,426,538,79.18%,,TRUE
1988,Democratic,Michael Dukakis,Lloyd Bentsen,"41,809,476","91,594,686",45.65%,111,538,20.63%,,FALSE
1988,Libertarian,Ron Paul,Andre Marrou,"431,750","91,594,686",0.47%,0,538,0.00%,,FALSE
1988,New Alliance,Lenora Fulani,None,"217,221","91,594,686",0.24%,0,538,0.00%,,FALSE
1988,Other,Write-in,None,"249,642","91,594,686",0.27%,0,538,0.00%,,FALSE
1988,Democratic,Lloyd Bentsen,Michael Dukakis,0,"91,594,686",0.00%,1,538,0.19%,Faithless elector Margarette Leach of West Virginia voted for Bentsen instead of Dukakis for President.,FALSE
1992,Democratic,Bill Clinton,Al Gore,"44,909,889","104,423,923",43.01%,370,538,68.77%,,TRUE
1992,Republican,George H. W. Bush,Dan Quayle,"39,104,550","104,423,923",37.45%,168,538,31.23%,,FALSE
1992,Independent,Ross Perot,James Stockdale,"19,743,821","104,423,923",18.91%,0,538,0.00%,,FALSE
1992,Other,Other Candidates,Other Candidates or None,"665,663","104,423,923",0.64%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
1996,Democratic,Bill Clinton,Al Gore,"47,402,357","96,277,223",49.24%,379,538,70.45%,,TRUE
1996,Republican,Bob Dole,Jack Kemp,"39,198,755","96,277,223",40.71%,159,538,29.55%,,FALSE
1996,Reform,Ross Perot,Patrick Choate,"8,085,402","96,277,223",8.40%,0,538,0.00%,,FALSE
1996,Other,Other Candidates,Other Candidates or None,"1,590,709","96,277,223",1.65%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
2000,Republican,George W. Bush,Dick Cheney,"50,456,002","105,421,423",47.86%,271,538,50.37%,,TRUE
2000,Democratic,Al Gore,Joe Lieberman,"50,999,897","105,421,423",48.38%,266,538,49.44%,One of the DC electors pledged to Gore-Lieberman abstained from the final vote.,FALSE
2000,Green,Ralph Nader,Winona LaDuke,"2,882,955","105,421,423",2.73%,0,538,0.00%,,FALSE
2000,Other,Other Candidates,Other Candidates or None,"1,082,569","105,421,423",1.03%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
2004,Republican,George W. Bush,Dick Cheney,"62,040,610","122,295,345",50.73%,286,538,53.16%,,TRUE
2004,Democratic,John Kerry,John Edwards,"59,028,444","122,295,345",48.27%,251,538,46.65%,,FALSE
2004,Other,Other Candidates,Other Candidates or None,"1,226,291","122,295,345",1.00%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
2004,Democratic,John Edwards,John Edwards,0,"122,295,345",0.00%,1,538,0.19%,One anonymous faithless elector from Minnesota voted for Edwards as President and VP.,FALSE
2008,Democratic,Barack Obama,Joe Biden,"69,498,516","131,313,820",52.93%,365,538,67.84%,,TRUE
2008,Republican,John McCain,Sarah Palin,"59,948,323","131,313,820",45.65%,173,538,32.16%,,FALSE
2008,Other,Other Candidates,Other Candidates or None,"1,866,981","131,313,820",1.42%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
2012,Democratic,Barack Obama,Joe Biden,"65,915,795","129,085,410",51.06%,332,538,61.71%,,TRUE
2012,Republican,Mitt Romney,Paul Ryan,"60,933,504","129,085,410",47.20%,206,538,38.29%,,FALSE
2012,Libertarian,Gary Johnson,Jim Gray,"1,275,971","129,085,410",0.99%,0,538,0.00%,,FALSE
2012,Other,Other Candidates,Other Candidates or None,"960,140","129,085,410",0.74%,0,538,0.00%,These are 3rd party candidates who didn't get more than 1% of the popular vote.,FALSE
2016,Republican,Donald Trump,Mike Pence,"62,984,828","136,669,276",46.09%,304,538,56.51%,,TRUE
2016,Democratic,Hillary Clinton,Tim Kaine,"65,853,514","136,669,276",48.18%,227,538,42.19%,,FALSE
2016,Libertarian,Gary Johnson,William Weld,"4,489,341","136,669,276",3.28%,0,538,0.00%,,FALSE
2016,Green,Jill Stein,Ajamu Baraka,"1,457,218","136,669,276",1.07%,0,538,0.00%,,FALSE
2016,Independent,Bernie Sanders,Elizabeth Warren,"111,850","136,669,276",0.08%,1,538,0.19%,Faithless elector from Hawaii who should have voted for Clinton and Kaine instead.,FALSE
2016,Republican,John Kasich,Carly Fiorina,"2,684","136,669,276",0.00%,1,538,0.19%,Faithless elector from Texas who should have voted for Trump and Pence.,FALSE
2016,Libertarian,Ron Paul,Mike Pence,124,"136,669,276",0.00%,1,538,0.19%,Faithless elector from Texas who should have voted for Trump (Republican) but voted for Paul (Libertarian).,FALSE
2016,Independent,Colin Powell,Elizabeth Warren,10,"136,669,276",0.00%,1,538,0.19%,Faithless elector from Washington who should have voted for Clinton and Kaine instead of Powell (Republican) and Warren (Democrat).,FALSE
2016,Independent,Colin Powell,Maria Cantwell,10,"136,669,276",0.00%,1,538,0.19%,Faithless elector from Washington who should have voted for Clinton and Kaine instead of Powell (Republican) and Cantwell (Democrat).,FALSE
2016,Republican,Colin Powell,Susan Collins,5,"136,669,276",0.00%,1,538,0.19%,Faithless elector from Washington who should have voted for Clinton and Kaine instead of Powell and Collins (both Republicans).,FALSE
2016,Independent,Faith Spotted Eagle,Winona LaDuke,0,"136,669,276",0.00%,1,538,0.19%,Faithless elector from Washington who should have voted for Clinton and Kaine instead of FSE and LaDuke (Green Party).,FALSE
2016,Other,Other Candidates,Other Candidates or None,"1,769,692","136,669,276",1.29%,0,538,0.00%,,FALSE
2020,Democratic,Joe Biden,Kamala Harris,"81,283,501","158,429,631",51.31%,306,538,56.88%,,TRUE
2020,Republican,Donald Trump,Mike Pence,"74,223,975","158,429,631",46.85%,232,538,43.12%,,FALSE
2020,Libertarian,Jo Jorgensen,Spike Cohen,"1,865,535","158,429,631",1.18%,0,538,0.00%,,FALSE
2020,Green,Howie Hawkins,Angela Nicole Walker,"407,068","158,429,631",0.26%,0,538,0.00%,,FALSE
2020,Reform,Rocky De La Fuente,Darcy Richardson,"301,016","158,429,631",0.19%,0,538,0.00%,,FALSE
2020,Other,Other Candidates,Other Candidates or None,"348,536","158,429,631",0.22%,0,538,0.00%,,FALSE
2024,Republican,Donald Trump,JD Vance,"77,302,169","155,419,638",49.74%,312,538,57.99%,,TRUE
2024,Democratic,Kamala Harris,Tim Walz,"75,015,834","155,419,638",48.27%,226,538,42.01%,,FALSE
2024,Green,Jill Stein,Butch Ware,"861,141","155,419,638",0.55%,0,538,0.00%,,FALSE
2024,American Independent,Robert Kennedy,Nicole Shanahan,"756,377","155,419,638",0.49%,0,538,0.00%,He dropped out mid 2024 and supported Trump's ticket but people still wrote RFK Jr in.,FALSE
2024,Libertarian,Chase Oliver,Mike ter Maat,"650,142","155,419,638",0.42%,0,538,0.00%,,FALSE
2024,Other,Other Candidates,Other Candidates or None,"833,975","155,419,638",0.54%,0,538,0.00%,List of a bunch of other candidates who barely got anywhere and had partial ballot access or write-ins.,FALSE
